"ID"	"code"	"name"	"CAT_dimension"	"CAT_multivarMethod"	"CAT_abundance"	"year"	"region.ISO3"	"sys1"	"habitat"	"group"	"sub.group"	"animal.group"	"sys1Grp"	"Total.Number.Species"	"nTrait"
"1"	501	"betweenSpRao"	"Between-species Rao"	"divergence"	"distance-only"	"yes"	2014	"SWE"	"T"	"GRAS"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"NA"	3
"2"	209	"Clust-Evenness"	"Cluster to determine FGs and then Evenness"	"evenness"	"cluster"	"yes"	2013	"HUN"	"A"	"LAKE"	"plant"	"algae"	"NA"	"aquatic plants"	"124"	7
"3"	128	"Clust-MPD"	"Cluster to determine FGs and then MPD"	"divergence"	"cluster"	"no"	2012	"BRA"	"T"	"TROP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"162"	5
"4"	304	"Clust-Rao"	"Cluster to get distances, then calc Rao"	"divergence"	"cluster"	"yes"	2014	"USA"	"A"	"NEAR"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"50"	28
"5"	209	"Clust-ShannonsH"	"Cluster to determine FGs and then Shannon's H"	"richness"	"cluster"	"no"	2013	"HUN"	"A"	"LAKE"	"plant"	"algae"	"NA"	"aquatic plants"	"124"	7
"6"	215	"EED"	"Evenness in species distinctiveness"	"evenness"	"cluster"	"yes"	2013	"DZA"	"A"	"NEAR"	"plant"	"graminoids, forbs"	"NA"	"aquatic plants"	"46"	9
"7"	333	"FAD1"	"Functional attribute diversity (FAD1)"	"divergence"	"distance-only"	"no"	2014	"NA"	"A"	"NEAR"	"animal"	"invertebrates"	"mollusks"	"aquatic animals"	"993"	5
"8"	290	"FAD2"	"Functional attribute diversity (FAD2)"	"divergence"	"distance-only"	"no"	2002	"AUS"	"T"	"GRAS"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"67"	5
"9"	739	"FAD2"	"Functional attribute diversity (FAD2)"	"divergence"	"distance-only"	"no"	2014	"CHN"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"171"	10
"10"	23	"FAD2"	"Functional attribute diversity (FAD2)"	"divergence"	"distance-only"	"no"	2010	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"99"	4
"11"	113	"FAD2"	"Functional attribute diversity (FAD2)"	"divergence"	"distance-only"	"no"	2009	"GBR"	"A"	"NEAR"	"plant"	"algae"	"NA"	"aquatic plants"	"6"	4
"12"	215	"FAD2"	"Functional attribute diversity (FAD2)"	"divergence"	"distance-only"	"no"	2013	"DZA"	"A"	"NEAR"	"plant"	"graminoids, forbs"	"NA"	"aquatic plants"	"46"	9
