"ID"	"year"	"region.ISO3"	"sys1"	"habitat"	"group"	"sub.group"	"animal.group"	"sys1Grp"	"multivar.FD.Measure"	"Total.Number.Species"	"nTrait"
"1"	385	2014	"SLB"	"A"	"PELA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"PEI"	"73"	6
"2"	178	2013	"JPN"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"sesFD"	"120"	16
"3"	102	2014	"SWE"	"A"	"RIPA"	"animal"	"invertebrates"	"NA"	"aquatic animals"	"FDis"	"21"	5
"4"	340	2014	"USA"	"A"	"RIPA"	"animal"	"invertebrates"	"arthropods"	"aquatic animals"	"FEve, Rao"	"79"	4
"5"	566	2014	"NA"	"A"	"NEAR"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"FRic, FV, FOR"	"222"	6
"6"	333	2014	"NA"	"A"	"NEAR"	"animal"	"invertebrates"	"mollusks"	"aquatic animals"	"FAD1, FEve"	"993"	5
"7"	595	2014	"FRA"	"A"	"LAKE"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"FRic"	"37"	10
"8"	304	2014	"USA"	"A"	"NEAR"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"Clust-Rao"	"50"	28
"9"	690	2014	"PRT"	"A"	"LAKE"	"animal"	"invertebrates"	"NA"	"aquatic animals"	"Rao"	"27"	5
"10"	697	2014	"NA"	"A"	"LAKE"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"Fbeta"	"286"	6
"11"	419	2014	"SWE"	"A"	"RIPA"	"animal"	"invertebrates"	"arthropods"	"aquatic animals"	"FDis"	"NA"	5
"12"	448	2014	"USA"	"A"	"LAKE"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"sesFRic, sesFEve, sesFDiv"	"6"	4
"13"	284	2013	"NA"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"Fbeta"	"230"	7
"14"	295	2014	"RUS"	"A"	"PELA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"FD"	"98"	8
"15"	81	2012	"GRC"	"A"	"NEAR"	"animal"	"invertebrates"	"NA"	"aquatic animals"	"FDiv, FRq"	"5"	7
"16"	35	2013	"FRA"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"FDiv, M-NND"	"35"	13
"17"	664	2014	"AUS"	"A"	"LAKE"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"FDis, FEve"	"194"	10
"18"	253	2012	"NA"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"sesFEve, sesRao"	"230"	14
"19"	343	2014	"GBR"	"A"	"NEAR"	"animal"	"invertebrates"	"NA"	"aquatic animals"	"Rao"	"67"	8
"20"	330	2014	"FRA"	"A"	"RIPA"	"microbes"	"diatoms"	"NA"	"other"	"Rao, FEve, FDis"	"NA"	2
"21"	215	2013	"DZA"	"A"	"NEAR"	"plant"	"graminoids, forbs"	"NA"	"aquatic plants"	"FAD2, MFAD, M-NND, sesRaoB, sesRao, sesFD, sesHED, sesEED, sesFEve"	"46"	9
"22"	113	2009	"GBR"	"A"	"NEAR"	"plant"	"algae"	"NA"	"aquatic plants"	"FAD2"	"6"	4
"23"	421	2014	"CHN"	"A"	"LAKE"	"plant"	"graminoids, forbs"	"NA"	"aquatic plants"	"Rao, FRic, FEve, FDiv"	"17"	16
"24"	209	2013	"HUN"	"A"	"LAKE"	"plant"	"algae"	"NA"	"aquatic plants"	"Clust-Evenness, Clust-ShannonsH"	"124"	7
"25"	349	2014	"SLB"	"T"	"NEAR"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"FD, FRic, FEve, FDiv"	"NA"	4
"26"	612	2014	"ARG"	"T"	"DESE"	"animal"	"vertebrates"	"mammals"	"terrestrial animals"	"FD, Rao"	"NA"	11
"27"	14	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"FRic, FDis, FEve"	"52"	5
