"ID"	"TraitNum"	"Trait.Name"	"Trait.Category.New"	"Trait.Source"	"Trait.Rationale"	"year"	"region.ISO3"	"sys1"	"habitat"	"group"	"sub.group"	"animal.group"	"sys1Grp"	"multivar.FD.Measure"	"Total.Number.Species"	"nTrait"
"1"	12	12.23	"wing chord length"	"locomotion"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"2"	12	12.2	"nest height"	"habitat"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"3"	12	12.06	"height"	"body size"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"4"	12	12.12	"light requirement"	"habitat"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"5"	12	12.08	"body size"	"body size"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"6"	12	12.11	"wing condition"	"locomotion"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"7"	12	12.02	"reproduction mode"	"reproduction"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"8"	12	12.13	"moisture requirement"	"habitat"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"9"	12	12.1	"diel activity"	"temporal partitioning"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"10"	12	12.17	"migration type"	"dispersal"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"11"	12	12.15	"vertical stratification"	"habitat"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"12"	12	12.01	"Raunkier life form"	"growth allocation"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"13"	12	12.05	"seed size"	"reproduction"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"14"	12	12.07	"shade tolerance"	"environmental tolerance"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"15"	12	12.21	"cavity nester"	"habitat"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"16"	12	12.03	"foliage persistence"	"growth allocation"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"17"	12	12.19	"foraging substrate"	"resource use"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"18"	12	12.04	"seed dispersal mode"	"dispersal"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"19"	12	12.22	"clutch size"	"reproduction"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"20"	12	12.16	"ballooning"	"dispersal"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"21"	12	12.18	"diet"	"resource use"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"22"	12	12.14	"prey capture strategy"	"resource use"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"23"	12	12.09	"feeding guild"	"resource use"	"3"	"general"	2013	"CAN"	"T"	"TAIG"	"animal, plant"	"shrubs, forbs, graminoids"	"NA"	"other"	"Rao"	"NA"	23
"24"	14	14.05	"biomass"	"body size"	"1"	"general"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"FRic, FDis, FEve"	"52"	5
"25"	14	14.04	"diel activity"	"temporal partitioning"	"1"	"general"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"FRic, FDis, FEve"	"52"	5
"26"	14	14.03	"diet"	"resource use"	"1"	"general"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"FRic, FDis, FEve"	"52"	5
"27"	14	14.01	"habitat specificity"	"habitat"	"1"	"general"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"FRic, FDis, FEve"	"52"	5
"28"	14	14.02	"food relocation habit"	"resource use"	"1"	"general"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"FRic, FDis, FEve"	"52"	5
"29"	17	17.04	"foraging method"	"resource use"	"3"	"general"	2014	"NZL, FRA"	"T"	"TEMP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"FRic, FEve, FDiv, FDis"	"54"	7
"30"	17	17.03	"mobility"	"locomotion"	"3"	"general"	2014	"NZL, FRA"	"T"	"TEMP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"FRic, FEve, FDiv, FDis"	"54"	7
