code,name,acceptESA,CAT_numTraits,CAT_dimension,CAT_multivarMethod,CAT_abundance,CAT_scale1,CAT_scale2,CAT_phylo,CAT_ses,exampleID,description,source
AFG-BrayCurtis,"Apriori functional guilds, Bray-Curtis coefficient",pancake,AFG,divergence,NA,yes,species,multiple,no,no,many,NA,Bray and Curtis 1957
AFG-Dominance,"Apriori functional guilds, Dominance",pancake,AFG,evenness,NA,yes,species,multiple,no,no,ID=269,The dominance of functional groups describes the degree to which the number of species in the most species-rich functional group dominates the community in terms of species richness,"Berger and Parker 1970, Magurran 1988"
AFG-Evenness,"Apriori functional guilds, Evenness",pancake,AFG,evenness,NA,yes,species,multiple,no,no,many,NA,NA
AFG-ITD,"Apriori functional guilds, Index of trophic diversity",pancake,AFG,richness,NA,yes,individual,multiple,no,no,ID=107,"The functional diversity of the nematodes was estimated using the index of trophic diversity (ITD) as 1 ‰ÛÒ ITD, with ITD = g12 + g22 + g32 . . . + gn2, where according to (Wieser, 1953), g is the relative contribution of each trophic group to the total number of individuals and n is the number of trophic groups (Gambi et al., 2003).",Wieser 1953
AFG-Jaccard,"Apriori functional guilds, Jaccard's coefficient",pancake,AFG,divergence,NA,no,species,multiple,no,no,ID=74,NA,Southwood 1978
AFG-KemptonQ,"Apriori functional guilds, Kempton's Q index",pancake,singleTrait,evenness,NA,yes,species,multiple,no,no,ID=376,"biodiversity was calculated with Kempton‰Ûªs Q index, which was adapted for ecosystem models by Ainsworth and Pitcher (2006), Christensen et al. (2009), and C.H. Ainsworth et al. (2011). Kempton‰Ûªs Q index represents the interdecile slope of the cumulative species log-abundance curve where functional group biomass (sorted into bins) substitutes for abundance and reflects both the species evenness and richness (Morzaria-Luna et al., 2013). This metric increases with species richness and evenness and behaves consistently across a wide range of model structures (Ainsworth et al., 2012).","Ainsworth and Pitcher 2006, Christensen 2009, Ainsworth 2011, Morzaria-Luna 2013"
AFG-Rao,"Apriori functional guilds, Rao's Q",pancake,AFG,divergence,NA,yes,species,multiple,no,no,many,NA,Rao 1982
AFG-Richness,"Apriori functional guilds, Richness",pancake,AFG,richness,NA,no,species,multiple,no,no,many,NA,NA
AFG-ShannonsH,"Apriori functional guilds, Shannon's H",pancake,AFG,richness,NA,yes,species,multiple,no,no,many,NA,NA
AFG-SimpsonsD,"Apriori functional guilds, Simpson's D",pancake,AFG,richness,NA,yes,species,multiple,no,no,many,NA,NA
AWCD,Average well color development (AWCD),AWCD,singleTrait,NA,NA,no,community,multiple,no,no,many,NA,Zak 1994
