ID,year,accept.reject,region.ISO3,sys1,habitat,sys2,group,sub.group,animal.group,Total.Number.Species,multivar.FD.Measure,total.number.traits
3,2009,AWCD,FRA,T,TEMP,10,microbes,"bacteria, fungi",NA,NA,NA,1
4,2012,pancake,FRA,T,"TEMP, TAIG, GRAS",22,plant,"graminoids, forbs, shrubs",NA,91,NA,2
8,2012,pancake,USA,T,TROP,11,plant,"trees, shrubs, graminoids, forbs",NA,4,NA,1
9,2012,coInertia,PAN,T,TROP,11,plant,"trees, shrubs",NA,19,NA,10
10,2014,pancake,USA,T,TEMP,10,animal,invertebrates,NA,NA,NA,1
12,2013,accept,CAN,T,TAIG,9,"animal, plant","shrubs, forbs, graminoids",NA,NA,Rao,23
14,2014,accept,BRA,T,TROP,11,animal,invertebrates,arthropods,52,"FRic, FDis, FEve",5
15,2013,reject,BRA,T,TROP,11,animal,invertebrates,arthropods,177,NA,6
17,2014,accept,"NZL, FRA",T,TEMP,10,animal,vertebrates,birds,54,"FRic, FEve, FDiv, FDis",7
18,2009,pancake,USA,A,RIPA,2,animal,invertebrates,NA,NA,NA,11
19,2013,accept,FRA,T,GRAS,7,plant,"trees, shrubs, graminoids, forbs",NA,NA,Rao,7
20,2011,accept,DEU,T,GRAS,7,plant,"graminoids, forbs",NA,22,"FRic, FEve, FDiv",14
21,2013,pancake,SWE,T,TAIG,9,animal,invertebrates,arthropods,253,NA,5
22,2007,reject,USA,A,RIPA,31,plant,algae,NA,3,NA,2
23,2010,accept,BRA,T,TROP,11,animal,invertebrates,arthropods,99,"FD, FAD2",4
24,2005,pancake,USA,T,TEMP,10,microbes,fungi,NA,NA,NA,1
25,2011,pancake,CAN,T,TAIG,9,plant,"trees, shrubs, graminoids, forbs",NA,NA,NA,14
26,2010,pancake,CAN,T,TAIG,9,plant,"trees, shrubs, graminoids, forbs",NA,129,NA,14
27,2005,accept,NA,T,OTHR,20,animal,vertebrates,mammals,NA,FD,11
28,2014,accept,CHN,T,TROP,24,plant,"trees, shrubs",NA,130,"RaoR, Rao, FEq",26
34,2014,accept,CHN,T,TROP,11,plant,"trees, shrubs",NA,284,FRic,6
35,2013,accept,FRA,A,RIPA,2,animal,vertebrates,fish,35,"FDiv, M-NND",13
38,2007,pancake,FRA,T,TEMP,10,microbes,microbemix,NA,371,NA,2
39,2013,pancake,FRA,T,GRAS,7,plant,"graminoids, forbs",NA,NA,NA,3
40,2013,accept,ITA,T,NEAR,15,plant,"trees, shrubs, graminoids, forbs",NA,NA,Rao,16
42,2012,accept,ESP,T,AGRI,13,plant,"graminoids, forbs, shrubs",NA,4,Rao,8
43,2012,accept,BOL,T,TROP,11,plant,trees,NA,77,"FRic, FEve, FDiv",12
44,2014,accept,BRA,T,GRAS,23,plant,"trees, shrubs",NA,55,iFD,10
48,2011,coInertia,GUF,T,TROP,11,"animal, plant","invertebrates, forbs",NA,24,NA,24
50,2010,accept,FRA,T,TEMP,10,plant,"graminoids, forbs, shrubs",NA,121,Rao,15
51,2003,reject,USA,A,LAKE,32,animal,vertebrates,herps,9,NA,3
53,2013,accept,FRA,T,GRAS,7,plant,"graminoids, forbs, shrubs",NA,25,Rao,9
55,2011,accept,ARG,T,GRAS,8,plant,"shrubs, forbs, graminoids, trees",NA,67,Rao,15
56,2006,pancake,CHN,T,GRAS,15,plant,"graminoids, forbs",NA,44,NA,4
57,2009,accept,BRA,T,GRAS,23,plant,"trees, shrubs",NA,NA,"iFD, FD",3
