ID,AUTHORS,PUBLICATION.YEAR,TraitNum,Trait.Name,Trait.Category.New,Trait.Source,Trait.Source.Info,Trait.Rationale,Rationale.Description,Notes,NOT A TRAIT?,
61,"Concostrina-Zubiri, L; Pescador, DS; Martinez, I; Escudero, A",2014,61.02,thallus continuity,habitat,4,NA,general,multinomial traits reflecting key functional roles performed by BSC in drylands,influneces soil stability,,
296,"Willig, MR; Moorhead, DL; Cox, SB; Zak, JC",1996,296.02,substrate richness,resource use,1,NA,none,NA,,not a valid trait,
296,"Willig, MR; Moorhead, DL; Cox, SB; Zak, JC",1996,296.03,substrate eveness,resource use,1,NA,none,NA,,not a valid trait,
296,"Willig, MR; Moorhead, DL; Cox, SB; Zak, JC",1996,296.04,substrate diversity,resource use,1,NA,none,NA,,not a valid trait,
390,"Diaz, M. R. (mdiaz@rsmas.miami.edu) ; Van Norstrand, J. D.; Eberli, G. P.; Piggot, A. M.; Zhou, J.; Klaus, J. S.",2014,390.02,genes associated with dentrification,unclassified,1,NA,none,,,not a valid trait,
390,"Diaz, M. R. (mdiaz@rsmas.miami.edu) ; Van Norstrand, J. D.; Eberli, G. P.; Piggot, A. M.; Zhou, J.; Klaus, J. S.",2014,390.03,genes associated with ammonification,unclassified,1,NA,none,,,not a valid trait,
390,"Diaz, M. R. (mdiaz@rsmas.miami.edu) ; Van Norstrand, J. D.; Eberli, G. P.; Piggot, A. M.; Zhou, J.; Klaus, J. S.",2014,390.04,genes associated with sulfate reduction,unclassified,1,NA,none,,,not a valid trait,
390,"Diaz, M. R. (mdiaz@rsmas.miami.edu) ; Van Norstrand, J. D.; Eberli, G. P.; Piggot, A. M.; Zhou, J.; Klaus, J. S.",2014,390.05,genes associated with carbon degradation,unclassified,1,NA,none,,,not a valid trait,
390,"Diaz, M. R. (mdiaz@rsmas.miami.edu) ; Van Norstrand, J. D.; Eberli, G. P.; Piggot, A. M.; Zhou, J.; Klaus, J. S.",2014,390.06,genes associated with autotrophic CO2 fixation,unclassified,1,NA,none,,,not a valid trait,
390,"Diaz, M. R. (mdiaz@rsmas.miami.edu) ; Van Norstrand, J. D.; Eberli, G. P.; Piggot, A. M.; Zhou, J.; Klaus, J. S.",2014,390.07,genes associated with methanogenesis,unclassified,1,NA,none,,,not a valid trait,
513,"Li, Jun-Min (lijm@tzc.edu.cn) ; Jin, Ze-Xin; Hagedorn, Frank; Li, Mai-He",2014,513.01,genetic sequencing,unclassified,1,NA,none,,,not a valid trait,
615,"Romani, Anna M. (anna.romani@udg.cat) ; Borrego, Carles M.; Diaz-Villanueva, Veronica; Freixa, Anna; Gich, Frederic; Ylla, Irene",2014,615.06,biofilm structure,unclassified,1,,none,,,not a valid trait,
